x_fibrinogen_before_hydrolysis_RandomForest,y_fibrinogen_before_hydrolysis_RandomForest,x_fibrinogen_after_hydrolysis_RandomForest,y_fibrinogen_after_hydrolysis_RandomForest
90,0.8652310670921946,90,0.928219088077325
91,0.871058088213475,91,0.9400459751417237
92,0.8925686497407562,92,0.9144398841560039
93,0.8650507930353628,93,0.9275480896631296
94,0.8543663203647901,94,0.9391891327825186
95,0.8782857397889527,95,0.9323432903953056
96,0.8825683774313257,96,0.9440239916637534
97,0.8640175740075847,97,0.9333414733100176
98,0.8834083758625562,98,0.9434966082754621
99,0.8596538140193516,99,0.9096699757254766
100,0.8628870075104959,100,0.912378767907953
101,0.8717761094488854,101,0.9297437981953147
102,0.8774776604802605,102,0.9282800244259958
103,0.8652399678775687,103,0.9368413463680235
104,0.8455027451779158,104,0.9235730736223117
105,0.8929719249794914,105,0.930398784331098
106,0.8389234608730043,106,0.9366265623472445
107,0.8609987836243407,107,0.9147952672164332
108,0.8459593519340882,108,0.9182405683195618
109,0.8450710668713022,109,0.9243689883224849
110,0.8525330776303139,110,0.9262872758717634
111,0.8320982882402922,111,0.9305088803526647
112,0.853210079335529,112,0.9127303454176803
113,0.8367917333528629,113,0.9231879389419896
114,0.8499729815271327,114,0.92624802596535
115,0.8511836811483998,115,0.9310621788852549
116,0.8482669651595128,116,0.9369234229043937
117,0.8512886801855708,117,0.9143573673445938
118,0.8623589234987666,118,0.9156696795144273
119,0.8398061213422069,119,0.9214427616089667
120,0.8405073270371073,120,0.9194060121308246
121,0.8502579522728159,121,0.8983020299365915
122,0.8614063109249116,122,0.9191960178049544
123,0.8248474018992825,123,0.9143445721068267
124,0.8626413211458069,124,0.9024600407038365
125,0.8267080483970907,125,0.9261556336348581
126,0.8028709331712853,126,0.9095184301261481
127,0.8146578329996442,127,0.9116301572167985
128,0.8379415905915187,128,0.9005437536457508
129,0.8310542202140208,129,0.9113720146238514
130,0.8160121397776462,130,0.9049956758141611
131,0.8251204765790564,131,0.9273876170784446
132,0.8410427354504119,132,0.9024781153232245
133,0.7875092048578599,133,0.910481054356762
134,0.8002038945453445,134,0.9023149632628135
135,0.8242772008590176,135,0.8999944352233745
136,0.803209482363013,136,0.9095801804043333
137,0.7613973566517296,137,0.8904293303727243
138,0.7941213398198471,138,0.9050357101734705
139,0.7987267746439839,139,0.8818390740955937
140,0.7865335721669718,140,0.8774873202918346
141,0.8012285155620307,141,0.8984338731885686
142,0.7933893827824087,142,0.8756557839639079
143,0.8107014837463081,143,0.8861776138550657
144,0.7680960453356092,144,0.8979742175277453
145,0.7713760646063641,145,0.8937408571580487
146,0.798242340528828,146,0.8617023152970472
147,0.7752003621848328,147,0.9066445985277591
148,0.753720194373608,148,0.8760011863776627
