x_albumin_before_hydrolysis_RandomForest,y_albumin_before_hydrolysis_RandomForest,x_albumin_after_hydrolysis_RandomForest,y_albumin_after_hydrolysis_RandomForest,x_fibrinogen_before_hydrolysis_RandomForest,y_fibrinogen_before_hydrolysis_RandomForest,x_fibrinogen_after_hydrolysis_RandomForest,y_fibrinogen_after_hydrolysis_RandomForest,x_fibrinogen&albumin_before_hydrolysis_RandomForest,y_fibrinogen&albumin_before_hydrolysis_RandomForest,x_fibrinogen&albumin_after_hydrolysis_RandomForest,y_fibrinogen&albumin_after_hydrolysis_RandomForest
34.0,0.9681020733652312,34.0,0.9526315789473684,34.0,0.9797829330603757,34.0,0.9908350704199383,34,0.9481179755485898,34.0,0.9822554386567394
35.0,0.9840510366826156,35.0,0.9590643274853801,35.0,0.9853054701247101,35.0,0.988508296148757,35,0.9533417695169366,35.0,0.9833513266790396
36.0,0.9663676966308545,36.0,0.9646198830409357,36.0,0.9789205054215374,36.0,0.9861833751264296,36,0.9569574473935625,36.0,0.9872456630382146
37.0,0.9734183944710261,37.0,0.9763157894736842,37.0,0.9671792959624811,37.0,0.9874292926519528,37,0.959772902532755,37.0,0.9823520832118796
38.0,0.9677698032961191,38.0,0.9464912280701754,38.0,0.9781361800055349,38.0,0.980041793387438,38,0.9633970136253686,38.0,0.9823761921323714
39.0,0.9893673577884105,39.0,0.9823042454621402,39.0,0.9883700258424394,39.0,0.9790151606055087,39,0.9524041674545711,39.0,0.9813817334378845
40.0,0.9730861244019139,40.0,0.9821637426900585,40.0,0.983716294912234,40.0,0.985058847672829,40,0.9546583260231073,40.0,0.9843257930890246
41.0,0.9734183944710261,41.0,0.9526315789473684,41.0,0.9726462330016704,41.0,0.9907318090901668,41,0.9692877010835571,41.0,0.9842249710704218
42.0,0.9677698032961191,,,42.0,0.9845576690377655,42.0,0.991957601812358,42,0.9604211610066582,42.0,0.9931399677542303
43.0,0.9787347155768208,,,43.0,0.9859644546344792,43.0,0.9850081305451295,43,0.9702648587809082,43.0,0.9863170624736056
44.0,0.9946836788942052,,,44.0,0.9852062107815688,44.0,0.9825655218755862,44,0.9663957365522408,44.0,0.9911882680888529
45.0,0.9946836788942052,,,45.0,0.976674766861934,45.0,0.990720162751568,45,0.9681404980287571,45.0,0.9921609090309828
46.0,0.9568048910154173,,,46.0,0.9821493012987305,46.0,0.9930184664652848,46,0.9665350139722836,46.0,0.9901980776162799
47.0,0.9893673577884105,,,47.0,0.9828540564920496,47.0,0.9919488230546107,47,0.9670811644116145,47.0,0.9921629269582486
48.0,0.9787347155768208,,,48.0,0.9827846198226389,48.0,0.9836705177544105,48,0.9650869739798574,48.0,0.9862771995595473
,,,,49.0,0.9799199699715628,49.0,0.9873305157541311,49,0.9676027556597387,49.0,0.9911486983696494
,,,,50.0,0.9875686482331103,50.0,0.9885125896749126,50,0.9728842312352548,50.0,0.9892260473626646
