x_fibrinogen_before_hydrolysis_RandomForest,y_fibrinogen_before_hydrolysis_RandomForest,x_fibrinogen_after_hydrolysis_RandomForest,y_fibrinogen_after_hydrolysis_RandomForest,x_fibrinogen_before_hydrolysis_SVM,y_fibrinogen_before_hydrolysis_SVM,x_fibrinogen_after_hydrolysis_SVM,y_fibrinogen_after_hydrolysis_SVM,x_fibrinogen_before_hydrolysis_LDA,y_fibrinogen_before_hydrolysis_LDA,x_fibrinogen_after_hydrolysis_LDA,y_fibrinogen_after_hydrolysis_LDA
93,0.8650507930353628,93,0.9275480896631296,93,0.9695664090645352,93,0.9964824341555644,93,0.6735704388176209,93,0.6976724964376545
94,0.8543663203647901,94,0.9391891327825186,94,0.9752030418479825,94,0.9929648683111288,94,0.6927527174104126,94,0.7484345195605241
95,0.8782857397889527,95,0.9323432903953056,95,0.9679214140677396,95,0.9930408157554972,95,0.7090883831884958,95,0.7218786370877955
96,0.8825683774313257,96,0.9440239916637534,96,0.9467045118503484,96,0.9912060853889108,96,0.7140167085876999,96,0.7177634810529724
97,0.8640175740075847,97,0.9333414733100176,97,0.9592982989104872,97,0.9928569123261332,97,0.7111738197712792,97,0.7234243920309906
98,0.8834083758625562,98,0.943496608275462,98,0.9841487024312509,98,0.9875893574740908,98,0.7424508662159415,98,0.7072824966982642
99,0.8596538140193516,99,0.9096699757254766,99,0.9645399586384772,99,0.9947236512333464,99,0.7028243000771003,99,0.6392537750207522
100,0.8628870075104959,100,0.912378767907953,100,0.9715604801477378,100,0.9893393464816976,100,0.7065818115258431,100,0.5985049839341636
101,0.8717761094488854,101,0.9297437981953148,101,0.9626341943923824,101,0.98942944815521,101,0.7113250910165562,101,0.6319537033047623
102,0.8774776604802605,102,0.9282800244259958,102,0.9570521206145468,102,0.9912820328332794,102,0.7123263379490753,102,0.5920000289224736
103,0.8652399678775687,103,0.9368413463680236,103,0.9697034985123628,103,0.9929736622257398,103,0.6986730215938652,103,0.5429147322399939
104,0.8455027451779158,104,0.9235730736223116,104,0.9698018461420777,104,0.9964824341555644,104,0.6835100628012474,104,0.4968504096027712
105,0.8929719249794914,105,0.930398784331098,105,0.9697396068587204,105,0.9947236512333464,105,0.6556442367811044,105,0.4984415690872361
106,0.8389234608730043,106,0.9366265623472444,106,0.9716839946756844,106,0.9929648683111288,106,0.6528168320082889,106,0.4901175000761043
107,0.8609987836243407,107,0.9147952672164332,107,0.9609403319330986,107,0.9912553846071852,107,0.6331992598520997,107,0.470951528518144
108,0.8459593519340882,108,0.9182405683195618,108,0.9410214954780703,108,0.9912820328332794,108,0.6264110971741098,108,0.4069661477965469
109,0.8450710668713022,109,0.9243689883224848,109,0.9645338452219028,109,0.9875805635594798,109,0.5916256823502609,109,0.4422548966736043
110,0.8525330776303139,110,0.9262872758717634,110,0.9555151528237088,110,0.9912104823462164,110,0.5762809596166805,110,0.4205797325738406
111,0.8320982882402922,111,0.9305088803526648,111,0.9567209341093338,111,0.9859030883961633,111,0.5985541278363614,111,0.376850466298478
112,0.853210079335529,112,0.9127303454176804,112,0.958898160801796,112,0.9964824341555644,112,0.5244754455636419,112,0.3439680221973652
